                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.92206,                0.67846,                0.91896,                0.77486,                0.81999,                0.84935,                0.61545,                0.93223,                0.76694,                0.89964,              0.0004387,              0.0004387,              0.0004387
                     37,                0.91897,                0.66236,                0.91661,                0.78477,                0.85145,                0.86824,                0.64416,                0.88459,                0.70688,                  0.893,             0.00041041,             0.00041041,             0.00041041
                     38,                0.91703,                0.66851,                 0.9155,                0.78658,                0.84803,                0.86815,                0.64905,                0.87205,                 0.6942,                0.88917,             0.00038211,             0.00038211,             0.00038211
                     39,                0.91097,                0.66502,                0.91953,                0.78128,                0.84016,                0.86275,                0.63827,                0.89652,                0.73731,                0.88913,             0.00035382,             0.00035382,             0.00035382
                     40,                0.91013,                0.66744,                0.91759,                0.79229,                0.84238,                0.86707,                0.64489,                0.88891,                0.71116,                0.89746,             0.00032553,             0.00032553,             0.00032553
                     41,                0.88062,                0.59158,                0.88851,                0.82245,                0.82693,                0.87721,                  0.666,                0.83964,                0.66483,                0.88542,             0.00029723,             0.00029723,             0.00029723
                     42,                0.87281,                0.58716,                0.88986,                0.80541,                0.83578,                0.86572,                0.63903,                0.91131,                 0.6973,                0.89912,             0.00026894,             0.00026894,             0.00026894
                     43,                0.87033,                0.58028,                0.88615,                0.81928,                0.82994,                0.87367,                0.65844,                0.86057,                0.67736,                 0.8891,             0.00024064,             0.00024064,             0.00024064
                     44,                0.86372,                0.56976,                0.88346,                0.81428,                0.84071,                0.87586,                0.65829,                0.86982,                0.66731,                0.88957,             0.00021235,             0.00021235,             0.00021235
                     45,                0.86122,                0.56518,                0.87881,                0.81336,                0.85764,                0.88271,                0.67068,                0.84617,                0.65091,                0.87928,             0.00018406,             0.00018406,             0.00018406
                     46,                0.85323,                0.56155,                0.87969,                 0.8124,                0.84485,                0.87474,                0.66267,                0.84375,                0.64781,                 0.8838,             0.00015576,             0.00015576,             0.00015576
                     47,                0.84444,                0.54696,                0.87987,                0.81723,                0.83946,                0.87575,                0.66611,                0.85219,                0.65947,                0.88382,             0.00012747,             0.00012747,             0.00012747
                     48,                0.84172,                0.54967,                0.87506,                0.81201,                 0.8493,                0.87855,                0.66379,                0.84251,                0.65174,                0.87855,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.83731,                0.54242,                0.87637,                0.81847,                0.84587,                0.88207,                0.67038,                0.84012,                0.64371,                0.87551,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.83177,                0.53857,                0.87291,                0.82672,                0.84534,                0.88349,                0.66802,                0.85061,                0.64204,                 0.8753,             4.2584e-05,             4.2584e-05,             4.2584e-05
