                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1352,                 1.2533,                 1.1788,                0.54636,                0.56915,                0.55293,                0.36569,                 1.1173,                 1.2701,                 1.1096,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.1254,                 1.2466,                 1.1688,                0.53147,                0.57404,                0.57616,                0.38102,                 1.1076,                 1.2502,                 1.1097,               0.000467,               0.000467,               0.000467
                     36,                 1.1312,                 1.2458,                 1.1688,                0.55701,                0.57343,                0.58268,                0.38586,                 1.0966,                 1.2369,                 1.0969,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.1213,                 1.2306,                 1.1703,                0.56891,                0.54341,                0.56384,                0.36508,                 1.1278,                 1.2651,                 1.1229,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.1331,                 1.2345,                 1.1744,                0.55365,                0.55695,                 0.5719,                0.37636,                 1.0974,                 1.2339,                 1.1049,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.1211,                 1.2191,                 1.1616,                0.57643,                0.56604,                0.59357,                0.39192,                 1.0886,                 1.2185,                 1.0918,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.1119,                 1.2107,                  1.163,                 0.5443,                0.59099,                 0.5945,                0.39768,                 1.0834,                 1.2253,                 1.0953,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.1096,                 1.1958,                 1.1518,                0.57095,                0.55242,                 0.5741,                0.37679,                 1.0862,                 1.2227,                 1.1003,             0.00029723,             0.00029723,             0.00029723
                     42,                  1.101,                 1.1692,                 1.1428,                 0.6228,                0.54197,                 0.5972,                0.39553,                 1.0945,                 1.1998,                 1.1029,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.0915,                 1.1649,                 1.1476,                0.57742,                0.56604,                0.58532,                 0.3938,                 1.0718,                  1.191,                 1.0916,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.0794,                 1.1429,                 1.1327,                0.60362,                0.56289,                 0.6021,                0.40194,                 1.0791,                 1.1804,                 1.0992,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.0726,                  1.145,                 1.1319,                0.57636,                0.57544,                0.59302,                0.39724,                 1.0677,                 1.1949,                 1.0941,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.0666,                 1.1379,                 1.1258,                 0.5762,                0.58594,                0.60171,                0.40457,                  1.068,                 1.1785,                 1.0886,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.0616,                 1.1148,                 1.1248,                0.59411,                 0.5611,                0.59848,                0.40065,                   1.07,                 1.1764,                 1.0937,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.0561,                  1.111,                 1.1208,                0.59596,                0.57448,                0.60881,                0.40965,                 1.0657,                 1.1685,                 1.0885,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.0525,                  1.106,                 1.1212,                0.58707,                0.58062,                0.60611,                0.40949,                 1.0584,                 1.1649,                 1.0843,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 1.0482,                 1.1067,                   1.12,                0.59744,                0.57573,                0.60887,                0.41159,                 1.0572,                 1.1587,                  1.086,             4.2584e-05,             4.2584e-05,             4.2584e-05
