                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69443,                0.45944,                  0.866,                0.81256,                 0.8544,                0.88811,                0.67642,                0.82766,                0.60635,                0.89048,              0.0004387,              0.0004387,              0.0004387
                     37,                0.69708,                0.45773,                0.86607,                0.80492,                0.85811,                0.88467,                 0.6783,                0.82025,                0.61086,                0.88803,             0.00041041,             0.00041041,             0.00041041
                     38,                 0.6908,                0.45538,                0.86304,                0.81217,                0.85394,                0.88621,                0.67508,                 0.8237,                0.61268,                0.88536,             0.00038211,             0.00038211,             0.00038211
                     39,                0.68644,                0.45051,                0.86431,                0.82339,                0.83077,                0.87949,                0.67537,                0.81538,                0.60509,                 0.8808,             0.00035382,             0.00035382,             0.00035382
                     40,                 0.6856,                 0.4464,                0.86447,                0.81992,                0.84016,                0.88604,                0.67962,                 0.8118,                0.60873,                0.88348,             0.00032553,             0.00032553,             0.00032553
                     41,                0.67618,                0.40946,                0.84667,                0.82222,                0.85072,                0.88644,                0.68135,                0.81419,                0.59332,                0.88398,             0.00029723,             0.00029723,             0.00029723
                     42,                0.66848,                0.40523,                0.84717,                0.82492,                0.84475,                0.88686,                 0.6866,                 0.8068,                 0.5834,                0.88152,             0.00026894,             0.00026894,             0.00026894
                     43,                0.66562,                 0.3985,                0.84558,                0.81076,                0.86369,                0.88897,                 0.6897,                0.80248,                0.58637,                0.87579,             0.00024064,             0.00024064,             0.00024064
                     44,                0.66424,                0.39768,                0.84489,                0.81537,                0.85917,                0.88854,                 0.6873,                0.80425,                0.58617,                0.87787,             0.00021235,             0.00021235,             0.00021235
                     45,                0.66064,                0.39537,                0.84375,                0.81962,                 0.8566,                0.89398,                 0.6938,                0.79787,                0.58359,                0.87533,             0.00018406,             0.00018406,             0.00018406
                     46,                0.65516,                0.38945,                 0.8413,                0.82865,                0.85207,                0.89139,                0.69465,                0.79148,                0.57892,                0.87103,             0.00015576,             0.00015576,             0.00015576
                     47,                0.65028,                0.38445,                 0.8402,                0.82007,                0.86695,                0.89371,                0.69588,                0.79691,                0.57847,                0.87182,             0.00012747,             0.00012747,             0.00012747
                     48,                0.64973,                0.38297,                0.84192,                0.82895,                0.85249,                0.89586,                0.69797,                0.79445,                0.57182,                 0.8715,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.64364,                0.38105,                0.83975,                0.84113,                0.84736,                0.89735,                0.70033,                0.78944,                0.57177,                0.86967,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.64336,                0.37732,                  0.839,                 0.8441,                0.84743,                0.89775,                0.70188,                 0.7893,                0.56946,                0.86905,             4.2584e-05,             4.2584e-05,             4.2584e-05
