                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90168,                0.65574,                0.91675,                  0.838,                0.85493,                0.90026,                0.69434,                0.82221,                0.64804,                0.90005,              0.0004387,              0.0004387,              0.0004387
                     37,                0.89759,                0.65553,                0.91594,                0.84084,                0.85471,                0.89809,                0.69288,                0.82619,                0.64792,                0.90021,             0.00041041,             0.00041041,             0.00041041
                     38,                0.88242,                0.64462,                0.91237,                0.82389,                0.87329,                  0.896,                0.68585,                0.84529,                0.65843,                0.90541,             0.00038211,             0.00038211,             0.00038211
                     39,                0.89942,                0.66995,                0.92277,                0.83316,                0.86993,                0.90467,                0.69549,                0.82881,                0.63957,                 0.9069,             0.00035382,             0.00035382,             0.00035382
                     40,                0.88597,                0.64629,                0.91638,                0.84227,                0.86261,                 0.9019,                0.70078,                0.81362,                0.63616,                0.90288,             0.00032553,             0.00032553,             0.00032553
                     41,                0.86127,                0.58365,                0.88613,                0.84368,                0.86018,                0.89795,                0.69743,                0.80702,                0.62281,                0.89486,             0.00029723,             0.00029723,             0.00029723
                     42,                0.85859,                0.58182,                 0.8881,                0.85301,                0.85518,                0.90311,                0.70484,                0.80842,                0.62698,                0.89443,             0.00026894,             0.00026894,             0.00026894
                     43,                0.85333,                0.57601,                 0.8857,                0.84716,                0.87428,                0.91173,                0.71552,                0.80137,                0.60767,                0.89417,             0.00024064,             0.00024064,             0.00024064
                     44,                0.84744,                0.56608,                0.88344,                0.85932,                0.87049,                0.91282,                0.71902,                0.78501,                0.60243,                0.88456,             0.00021235,             0.00021235,             0.00021235
                     45,                0.84263,                0.55921,                0.87639,                0.84698,                0.87839,                0.91162,                0.71593,                0.78873,                0.60126,                0.88653,             0.00018406,             0.00018406,             0.00018406
                     46,                0.83362,                0.55318,                 0.8794,                0.84821,                0.87613,                 0.9107,                0.71835,                0.78335,                 0.5985,                0.88531,             0.00015576,             0.00015576,             0.00015576
                     47,                0.82533,                0.54419,                0.87715,                  0.859,                0.86273,                 0.9155,                 0.7243,                0.78416,                0.59257,                0.88739,             0.00012747,             0.00012747,             0.00012747
                     48,                 0.8296,                0.54882,                0.87704,                0.86471,                0.86677,                0.91867,                0.72671,                   0.78,                0.58173,                 0.8842,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.82562,                 0.5424,                0.87941,                0.85841,                0.86995,                0.91525,                 0.7258,                0.77565,                0.57973,                0.88221,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.81754,                0.52852,                0.87504,                0.86599,                0.87131,                0.91881,                0.72908,                0.77283,                0.57872,                0.88142,             4.2584e-05,             4.2584e-05,             4.2584e-05
