                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.76573,                 1.1178,                0.57713,                0.84599,                 0.8341,                0.87021,                0.91371,                0.74607,                0.80901,                0.84304,                0.86956,                0.49068,                0.70294,                 1.1656,                 0.6708,                0.86449,             0.00074994,             0.00074994,             0.00074994
                     26,                0.75191,                 1.1214,                0.56599,                0.84472,                0.85809,                0.87773,                0.92479,                0.75733,                0.82434,                 0.8424,                0.87293,                0.48671,                0.68078,                 1.1185,                0.58546,                0.86206,             0.00072164,             0.00072164,             0.00072164
                     27,                0.75909,                 1.1402,                0.56357,                0.84675,                0.87099,                0.87817,                0.93469,                0.77264,                0.83984,                0.85042,                0.88875,                0.50244,                0.66501,                 1.1081,                0.56445,                0.85132,             0.00069335,             0.00069335,             0.00069335
                     28,                0.75291,                 1.1316,                0.56042,                0.84512,                0.87925,                0.88794,                0.93396,                0.77532,                0.84628,                0.85196,                0.88538,                0.50278,                0.65956,                 1.1091,                0.55422,                0.84922,             0.00066506,             0.00066506,             0.00066506
                     29,                0.74766,                 1.1163,                0.55462,                0.84274,                 0.8658,                0.88648,                0.93591,                0.77079,                0.84579,                0.84217,                0.88948,                0.50816,                0.66849,                 1.1092,                0.56524,                0.85354,             0.00063676,             0.00063676,             0.00063676
                     30,                0.73691,                 1.1155,                0.54668,                0.84085,                0.88359,                0.88585,                 0.9375,                0.77149,                0.84161,                0.86464,                0.89009,                0.49912,                0.67035,                 1.0954,                0.55802,                0.85977,             0.00060847,             0.00060847,             0.00060847
                     31,                0.72947,                 1.1069,                0.53436,                0.84175,                0.86679,                0.88792,                0.93772,                0.77187,                0.84269,                0.84873,                0.88996,                0.49238,                 0.6702,                 1.1426,                0.55016,                0.85594,             0.00058017,             0.00058017,             0.00058017
                     32,                0.73538,                 1.1171,                0.53803,                0.84241,                0.85889,                0.90832,                0.92826,                0.77131,                0.83194,                0.86086,                0.87593,                0.49318,                0.65279,                 1.1286,                0.55729,                0.85228,             0.00055188,             0.00055188,             0.00055188
                     33,                0.72782,                 1.0917,                0.53514,                0.84268,                0.87749,                0.88781,                0.93584,                0.77573,                0.84783,                0.85751,                0.89656,                0.51683,                0.65719,                 1.0908,                0.55492,                0.85373,             0.00052359,             0.00052359,             0.00052359
                     34,                0.72711,                 1.1013,                0.53585,                0.84099,                0.86355,                0.89245,                0.93335,                0.76867,                0.84021,                 0.8705,                0.89842,                0.52168,                0.65958,                  1.096,                   0.56,                0.85293,             0.00049529,             0.00049529,             0.00049529
                     35,                0.72184,                 1.0912,                0.52686,                0.83991,                0.88938,                0.88438,                  0.941,                0.78483,                0.85932,                0.85104,                0.89392,                0.51576,                0.64474,                 1.1016,                0.53412,                0.84171,               0.000467,               0.000467,               0.000467
                     36,                0.71514,                 1.0754,                 0.5279,                0.84133,                0.86958,                0.88506,                0.93407,                0.77955,                0.85206,                0.85884,                0.89863,                0.52055,                0.65061,                 1.1035,                 0.5525,                0.85095,              0.0004387,              0.0004387,              0.0004387
                     37,                0.71614,                 1.0762,                0.52285,                0.83593,                0.87167,                 0.9014,                0.93796,                0.78601,                 0.8478,                0.86341,                0.89422,                 0.5141,                0.63736,                 1.0966,                0.54978,                0.84002,             0.00041041,             0.00041041,             0.00041041
                     38,                0.70982,                 1.0854,                0.51744,                0.83719,                0.87558,                0.90255,                0.93798,                0.78813,                0.84357,                0.87605,                0.89839,                0.51352,                0.62902,                 1.0829,                0.52735,                0.84027,             0.00038211,             0.00038211,             0.00038211
                     39,                0.71205,                  1.084,                0.52001,                0.83619,                0.87903,                0.89815,                0.94228,                 0.7894,                0.84339,                0.87062,                0.90051,                0.51697,                0.63872,                 1.0946,                0.51773,                0.84291,             0.00035382,             0.00035382,             0.00035382
                     40,                0.69824,                  1.062,                0.50489,                0.83586,                0.87669,                 0.8955,                 0.9408,                0.78735,                0.84769,                0.86759,                0.90004,                0.52638,                0.63446,                 1.0888,                0.53997,                0.84249,             0.00032553,             0.00032553,             0.00032553
                     41,                0.70562,                 1.0816,                0.49687,                0.83355,                0.85888,                0.87435,                0.93271,                0.77255,                0.83624,                0.84199,                0.89127,                0.50547,                 0.6675,                 1.1641,                 0.5923,                0.83924,             0.00029723,             0.00029723,             0.00029723
                     42,                 0.7053,                 1.0777,                 0.4976,                0.83218,                0.87903,                0.90741,                0.93739,                0.78867,                0.84885,                0.88103,                0.90025,                0.52484,                0.62636,                 1.0672,                0.51679,                0.83846,             0.00026894,             0.00026894,             0.00026894
                     43,                0.70081,                 1.0846,                0.48584,                0.83234,                0.87781,                0.89875,                0.94393,                0.79813,                0.84784,                0.86895,                 0.9056,                0.52696,                0.62747,                 1.0631,                  0.509,                0.83459,             0.00024064,             0.00024064,             0.00024064
                     44,                0.69225,                 1.0555,                 0.4769,                0.83073,                0.89501,                 0.9015,                 0.9462,                0.79777,                0.86643,                 0.8764,                0.91182,                0.53061,                0.61734,                 1.0627,                0.50138,                0.83218,             0.00021235,             0.00021235,             0.00021235
                     45,                0.68744,                 1.0611,                0.47135,                0.82732,                0.88151,                0.90587,                0.94516,                0.79831,                 0.8531,                0.87334,                0.90052,                0.51776,                0.61626,                 1.0647,                0.50471,                0.83266,             0.00018406,             0.00018406,             0.00018406
                     46,                0.68683,                  1.053,                0.47331,                0.82829,                0.88903,                0.90726,                0.94442,                0.80229,                 0.8631,                 0.8829,                0.90847,                0.53015,                0.60208,                 1.0563,                0.49369,                0.82695,             0.00015576,             0.00015576,             0.00015576
                     47,                0.68178,                 1.0431,                0.46648,                0.82522,                0.87945,                0.91423,                0.94734,                0.80702,                0.85679,                0.87961,                0.91229,                0.54186,                0.60074,                 1.0471,                0.48821,                0.82283,             0.00012747,             0.00012747,             0.00012747
                     48,                 0.6757,                 1.0422,                 0.4614,                0.82304,                0.88532,                0.91107,                0.94809,                0.80836,                0.86431,                0.87904,                0.91294,                 0.5364,                 0.6021,                 1.0486,                0.48272,                 0.8243,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.66926,                 1.0208,                0.45396,                0.82408,                0.89096,                0.90769,                0.95122,                0.81079,                0.86813,                 0.8806,                0.91617,                0.54006,                0.59931,                 1.0604,                 0.4814,                0.82502,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.66401,                 1.0253,                0.44836,                0.82226,                0.88419,                0.91371,                0.94982,                0.81126,                0.85945,                0.88241,                0.91326,                0.54052,                0.59824,                  1.055,                0.48039,                0.82476,             4.2584e-05,             4.2584e-05,             4.2584e-05
