                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.1617,                  1.831,                0.79331,                0.91811,                0.86278,                0.89361,                0.93172,                0.76844,                0.83178,                0.86502,                0.88468,                0.49354,                0.67978,                 1.1397,                0.54545,                0.84775,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.1384,                 1.8058,                0.77532,                0.91055,                0.88281,                0.88228,                0.93711,                0.77143,                0.85699,                0.85797,                0.89231,                 0.4926,                0.67749,                 1.1475,                0.53236,                0.84643,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.1375,                 1.7878,                0.76672,                0.90884,                0.86901,                0.88816,                0.93562,                0.77289,                0.84761,                 0.8652,                0.89253,                0.50576,                0.67609,                 1.1421,                0.53693,                0.85097,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.1245,                 1.7757,                0.76862,                 0.9096,                0.87238,                 0.8824,                0.93287,                0.76815,                0.85199,                0.85227,                0.89195,                0.49893,                0.67768,                 1.1408,                 0.5391,                0.84825,             0.00066506,             0.00066506,             0.00066506
                     29,                  1.124,                 1.7759,                0.76191,                0.90962,                0.88275,                0.88764,                0.93621,                0.77519,                0.85945,                0.85322,                0.88968,                0.49904,                0.66777,                 1.1308,                0.52555,                0.84627,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.1137,                 1.7563,                0.75649,                0.90694,                0.87229,                0.89053,                0.93681,                0.77691,                0.85796,                 0.8509,                0.89381,                0.49908,                0.66256,                 1.1401,                 0.5328,                 0.8402,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.1108,                  1.747,                0.74946,                0.90607,                0.87563,                0.88613,                0.93718,                0.77768,                0.85051,                0.86211,                0.89179,                0.49704,                0.66464,                 1.1288,                 0.5303,                0.84108,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.0982,                 1.7383,                0.74807,                0.90482,                0.86992,                0.90003,                0.94022,                0.77841,                0.84474,                0.86793,                0.89462,                0.50175,                 0.6611,                 1.1282,                0.52046,                0.84034,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.0956,                 1.7222,                0.74181,                0.90178,                0.89007,                0.88166,                0.94104,                 0.7833,                0.86692,                 0.8507,                0.89146,                 0.5001,                0.65587,                 1.1159,                 0.5089,                0.83397,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.0903,                 1.7298,                0.73729,                0.90116,                0.87112,                 0.8945,                0.93864,                0.78368,                0.84398,                 0.8703,                0.89439,                0.50646,                0.65593,                 1.1238,                0.51089,                0.83978,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.0861,                 1.7235,                0.73163,                0.90273,                0.88462,                0.88823,                0.94206,                0.78448,                0.85641,                0.85961,                 0.8962,                0.50557,                0.64667,                 1.1285,                0.50408,                0.83485,               0.000467,               0.000467,               0.000467
                     36,                 1.0803,                 1.7135,                0.72421,                0.90014,                0.88921,                0.88247,                0.94166,                0.78732,                 0.8683,                0.84947,                0.89576,                0.51097,                0.64777,                 1.1103,                0.51016,                 0.8331,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.0784,                 1.7054,                0.72411,                0.89833,                0.87665,                0.89102,                0.93935,                0.78725,                0.84943,                0.86297,                 0.8951,                0.51027,                0.64348,                 1.1131,                0.50692,                 0.8305,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.0574,                 1.6776,                0.70569,                 0.8957,                0.88035,                0.88542,                0.93829,                0.78312,                0.85153,                0.85798,                0.88978,                0.50242,                0.64848,                 1.1184,                0.50452,                 0.8356,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.0612,                 1.6935,                0.71451,                0.89591,                0.88998,                0.88617,                0.94327,                0.78914,                0.85907,                0.85145,                0.89098,                0.50513,                0.64406,                 1.1195,                0.49778,                0.82951,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.0591,                 1.6771,                0.70991,                0.89411,                0.88759,                0.89112,                0.94421,                0.79098,                 0.8603,                0.86043,                0.89951,                0.51159,                0.63897,                 1.1106,                0.49899,                0.83271,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.1134,                 1.8161,                0.75349,                0.91516,                0.88202,                0.89166,                0.94357,                0.79224,                0.86013,                0.86194,                0.90213,                0.51937,                0.64293,                 1.1043,                 0.4979,                0.83503,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.0866,                 1.7774,                0.74474,                 0.9051,                0.88762,                0.89463,                0.94418,                0.79382,                0.85686,                0.86237,                0.89592,                0.51593,                0.63576,                    1.1,                0.49603,                0.82912,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.0832,                 1.7918,                0.74812,                0.90357,                0.89446,                0.88858,                0.94571,                  0.799,                0.86986,                0.86246,                0.90435,                0.52028,                0.63233,                  1.105,                0.48507,                0.82909,             0.00024064,             0.00024064,             0.00024064
                     44,                  1.074,                 1.7648,                0.73607,                0.90136,                0.89181,                0.89513,                0.94552,                0.79504,                0.86422,                 0.8613,                0.89832,                0.51337,                0.63399,                 1.1117,                0.48446,                0.82881,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.0583,                 1.7429,                0.72309,                 0.8993,                0.88739,                0.89654,                0.94565,                0.79907,                0.86485,                0.86471,                0.90375,                0.52338,                 0.6282,                 1.1022,                0.48312,                0.82835,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.0548,                 1.7509,                 0.7223,                0.89729,                0.88407,                0.90039,                 0.9457,                0.79624,                0.85086,                0.87079,                0.89807,                0.51329,                0.63141,                 1.1086,                 0.4842,                0.82855,             0.00015576,             0.00015576,             0.00015576
                     47,                  1.045,                   1.72,                 0.7158,                 0.8965,                0.89023,                0.89892,                0.94706,                0.79944,                0.85872,                  0.873,                0.90335,                0.52053,                0.62466,                 1.1069,                 0.4817,                0.82481,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.0347,                 1.7081,                0.70534,                0.89337,                0.89377,                 0.8921,                0.94667,                0.80132,                0.86767,                0.86299,                0.90446,                0.52076,                0.62113,                 1.1083,                0.47806,                0.82286,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.0305,                 1.7181,                0.70832,                0.89181,                 0.8943,                  0.894,                 0.9466,                  0.802,                0.86799,                0.86718,                0.90465,                0.52315,                 0.6216,                 1.1044,                0.47553,                 0.8232,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 1.0259,                 1.6989,                0.70321,                0.89177,                 0.8921,                0.89828,                0.94687,                 0.8024,                 0.8636,                0.86486,                0.90257,                0.52356,                0.62062,                 1.1009,                0.47607,                  0.825,             4.2584e-05,             4.2584e-05,             4.2584e-05
