                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.91365,                 1.6927,                0.57595,                0.87334,                0.84977,                0.88038,                0.91898,                  0.751,                0.83089,                0.84805,                0.87771,                0.48337,                0.69435,                 1.1609,                0.58079,                0.86352,             0.00074994,             0.00074994,             0.00074994
                     26,                0.90589,                 1.6754,                0.57169,                0.87088,                0.86839,                0.87539,                0.92939,                0.76479,                 0.8505,                0.84683,                0.88514,                0.49099,                0.68262,                 1.1478,                0.55765,                0.85788,             0.00072164,             0.00072164,             0.00072164
                     27,                0.90919,                 1.6817,                0.56741,                0.87105,                0.85883,                0.88314,                0.92812,                0.76297,                0.84303,                0.84807,                0.88631,                 0.4943,                  0.686,                 1.1519,                0.56796,                0.86027,             0.00069335,             0.00069335,             0.00069335
                     28,                0.89696,                 1.6684,                0.56127,                 0.8687,                0.86788,                0.88336,                0.93102,                 0.7647,                0.85097,                0.85468,                0.88712,                0.49804,                0.68689,                 1.1494,                0.56141,                 0.8608,             0.00066506,             0.00066506,             0.00066506
                     29,                0.89816,                 1.6812,                0.56135,                0.87148,                0.87641,                0.86161,                0.92538,                0.75761,                0.85669,                0.83908,                0.88233,                0.49632,                0.68005,                 1.1432,                0.56555,                0.86174,             0.00063676,             0.00063676,             0.00063676
                     30,                0.89308,                  1.657,                0.55588,                0.86665,                0.86487,                0.85803,                0.92332,                0.75356,                0.85017,                0.83551,                0.88555,                0.49821,                0.70837,                 1.2194,                 0.5938,                0.85231,             0.00060847,             0.00060847,             0.00060847
                     31,                0.88685,                 1.6557,                 0.5527,                0.86704,                0.87783,                0.87605,                0.92992,                 0.7662,                0.85578,                0.85121,                0.89006,                0.50909,                0.66741,                 1.1294,                0.56011,                0.85019,             0.00058017,             0.00058017,             0.00058017
                     32,                0.87975,                  1.658,                0.54865,                0.86485,                0.87205,                0.88847,                0.93632,                0.77553,                0.85533,                0.84646,                0.89301,                0.49927,                 0.6613,                 1.1277,                 0.5359,                 0.8449,             0.00055188,             0.00055188,             0.00055188
                     33,                0.87657,                 1.6443,                0.54218,                0.86387,                0.87563,                 0.8795,                0.93363,                0.77757,                0.86193,                0.85187,                0.89655,                0.51508,                 0.6612,                  1.129,                0.53078,                0.84797,             0.00052359,             0.00052359,             0.00052359
                     34,                0.86946,                  1.646,                0.53885,                0.86362,                0.87857,                0.88256,                0.92974,                0.76663,                0.85183,                0.84733,                0.88266,                0.50482,                0.66802,                 1.1395,                0.54792,                0.85164,             0.00049529,             0.00049529,             0.00049529
                     35,                0.86846,                  1.634,                 0.5392,                0.86368,                0.87575,                0.88561,                0.93104,                0.77506,                 0.8519,                0.85063,                0.88576,                0.50919,                 0.6533,                 1.1143,                 0.5384,                0.84775,               0.000467,               0.000467,               0.000467
                     36,                0.86357,                 1.6246,                0.53393,                0.86372,                0.87261,                0.88508,                0.93384,                0.77659,                0.84998,                0.84584,                0.88824,                0.50711,                0.65581,                 1.1106,                0.53195,                0.84882,              0.0004387,              0.0004387,              0.0004387
                     37,                0.86384,                 1.6315,                0.53032,                0.86448,                0.87497,                0.88639,                0.93383,                0.77621,                0.85708,                0.85359,                0.89748,                0.51258,                0.65473,                 1.1134,                0.53392,                 0.8468,             0.00041041,             0.00041041,             0.00041041
                     38,                0.85744,                 1.6178,                0.53232,                 0.8623,                0.86552,                0.89175,                0.93431,                0.77958,                0.83905,                0.85754,                0.89238,                0.50831,                0.64784,                 1.1113,                0.53102,                0.84542,             0.00038211,             0.00038211,             0.00038211
                     39,                 0.8514,                 1.6121,                 0.5243,                0.86054,                0.86804,                0.89823,                0.93798,                0.78158,                0.83943,                0.86742,                0.89564,                 0.5095,                0.65187,                 1.1358,                0.51933,                0.84269,             0.00035382,             0.00035382,             0.00035382
                     40,                0.85266,                 1.6017,                0.52042,                0.86023,                0.87721,                0.89663,                0.94024,                0.78799,                0.85033,                0.86672,                0.90008,                0.51712,                0.64176,                 1.1068,                0.51319,                0.83871,             0.00032553,             0.00032553,             0.00032553
                     41,                0.83054,                 1.5392,                0.48218,                0.84791,                0.87884,                0.89259,                0.93881,                 0.7873,                0.85399,                0.86617,                 0.9012,                 0.5199,                0.63984,                 1.0942,                0.51682,                 0.8371,             0.00029723,             0.00029723,             0.00029723
                     42,                0.83208,                 1.5397,                0.47604,                0.84745,                0.88412,                0.88689,                 0.9391,                0.78952,                0.86708,                 0.8562,                0.90466,                0.52655,                0.63586,                 1.0928,                 0.5132,                0.83896,             0.00026894,             0.00026894,             0.00026894
                     43,                0.82391,                 1.5285,                0.47358,                0.84628,                0.88077,                0.90486,                0.94296,                0.79393,                 0.8583,                0.87447,                0.90642,                0.52467,                0.63192,                 1.0964,                0.50213,                0.83309,             0.00024064,             0.00024064,             0.00024064
                     44,                0.82088,                 1.5313,                0.46653,                0.84439,                0.88553,                0.90016,                0.94316,                0.79571,                0.86405,                0.86859,                0.90632,                0.52604,                0.62686,                 1.0954,                0.49847,                0.83168,             0.00021235,             0.00021235,             0.00021235
                     45,                0.81549,                 1.5253,                0.46369,                0.84278,                0.88341,                0.89748,                0.94043,                0.79397,                0.85526,                0.86713,                0.90008,                0.52183,                0.62515,                 1.0963,                0.49853,                0.83326,             0.00018406,             0.00018406,             0.00018406
                     46,                0.81123,                 1.5195,                0.46067,                0.84383,                0.88385,                0.89877,                0.94429,                0.79614,                0.86086,                0.87312,                0.90743,                0.52798,                0.62421,                 1.0936,                0.49441,                0.83239,             0.00015576,             0.00015576,             0.00015576
                     47,                0.81197,                 1.5169,                 0.4561,                0.84281,                 0.8846,                0.89692,                0.94346,                0.79916,                0.86358,                0.87034,                0.91063,                0.53218,                0.62076,                 1.0822,                0.49436,                0.82839,             0.00012747,             0.00012747,             0.00012747
                     48,                0.80339,                 1.4885,                0.45131,                0.83975,                0.88564,                0.89321,                0.94588,                0.79928,                0.86111,                 0.8671,                0.90943,                0.53151,                0.61995,                 1.0882,                0.49276,                0.82783,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.80157,                 1.5008,                0.44941,                0.84065,                0.88701,                0.89978,                0.94634,                0.80085,                0.86436,                0.87355,                0.90913,                 0.5342,                0.61578,                 1.0832,                0.48655,                0.82486,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.79672,                  1.503,                 0.4451,                0.83965,                0.88881,                  0.898,                0.94662,                0.80236,                0.86582,                0.87238,                0.91048,                0.53733,                0.61445,                 1.0838,                0.48615,                0.82453,             4.2584e-05,             4.2584e-05,             4.2584e-05
