                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3858,                 2.2601,                 1.3957,                0.32296,                0.47271,                0.35707,                0.21121,                 1.3601,                 2.0941,                 1.4827,             0.00047332,             0.00047332,             0.00047332
                      2,                  1.334,                 1.7974,                   1.39,                0.36434,                0.39758,                0.39678,                0.22432,                  1.479,                 2.0512,                 1.5014,             0.00093085,             0.00093085,             0.00093085
                      3,                 1.3078,                 1.7018,                 1.3647,                0.41044,                0.64077,                 0.4825,                0.28559,                 1.3683,                 1.7781,                 1.4065,              0.0013695,              0.0013695,              0.0013695
                      4,                 1.2822,                  1.635,                 1.3573,                0.34851,                 0.5409,                0.40449,                0.23911,                 1.3415,                 2.5773,                 1.4139,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2636,                 1.5871,                 1.3332,                0.37587,                0.63126,                0.48504,                0.27098,                 1.3896,                 1.7563,                 1.4669,              0.0013158,              0.0013158,              0.0013158
                      6,                  1.225,                 1.5472,                 1.3188,                 0.4298,                0.63585,                0.51929,                0.30577,                 1.3589,                 1.6225,                 1.3731,              0.0012875,              0.0012875,              0.0012875
                      7,                  1.218,                 1.5265,                 1.3116,                0.44897,                0.64957,                0.54919,                0.33782,                 1.2227,                 1.5841,                 1.3104,              0.0012592,              0.0012592,              0.0012592
                      8,                  1.198,                 1.4993,                 1.2968,                 0.4528,                0.66609,                0.57293,                0.35322,                 1.1796,                 1.4991,                 1.2671,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.1753,                 1.4655,                 1.2915,                0.45189,                0.70154,                0.57203,                0.35824,                 1.1402,                 1.4649,                 1.2414,              0.0012026,              0.0012026,              0.0012026
                     10,                  1.162,                  1.441,                 1.2818,                0.48175,                0.61892,                0.54414,                0.33589,                 1.1751,                 1.7208,                 1.2503,              0.0011744,              0.0011744,              0.0011744
                     11,                  1.146,                 1.4362,                 1.2738,                0.54546,                0.61634,                0.59095,                0.37423,                 1.1525,                 1.5309,                 1.2538,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.1437,                 1.4052,                 1.2594,                  0.519,                0.63063,                0.56082,                0.36709,                  1.111,                 1.4582,                 1.2133,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1209,                 1.3964,                  1.261,                0.45767,                0.59762,                0.51429,                0.32361,                 1.2177,                 1.9634,                 1.2887,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.1071,                 1.3671,                 1.2439,                0.56732,                0.63702,                 0.6249,                0.40822,                 1.0992,                  1.359,                 1.2148,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.0946,                 1.3558,                 1.2396,                0.54405,                0.66674,                0.64034,                0.41861,                 1.1092,                 1.3528,                 1.2091,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1009,                  1.363,                 1.2418,                0.52407,                0.70658,                0.64492,                 0.4184,                  1.078,                 1.3733,                 1.2039,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.0869,                 1.3441,                 1.2406,                0.60341,                   0.67,                0.66293,                0.42813,                 1.0988,                 1.2966,                 1.2045,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.0773,                 1.3201,                 1.2239,                0.54291,                0.63249,                0.62276,                0.39061,                 1.1833,                 1.4311,                 1.2769,               0.000948,               0.000948,               0.000948
                     19,                 1.0817,                 1.3145,                 1.2317,                0.50269,                0.68667,                0.61727,                0.41211,                  1.044,                 1.3426,                 1.1667,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.0608,                 1.2991,                 1.2237,                0.58384,                0.67507,                0.65498,                0.43477,                  1.061,                 1.2832,                 1.1818,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.0677,                 1.2843,                 1.2233,                0.51677,                  0.694,                0.62187,                0.42276,                 1.0176,                 1.2977,                 1.1424,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.0661,                 1.2847,                 1.2251,                0.50107,                0.69243,                 0.6217,                0.42281,                 1.0344,                 1.2869,                 1.1479,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.0599,                 1.2678,                 1.2166,                0.52647,                 0.6981,                0.65532,                0.45068,                 1.0134,                 1.2501,                 1.1393,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.0403,                 1.2481,                 1.1994,                0.60399,                0.64601,                0.64766,                0.44081,                 1.0358,                 1.3292,                 1.1644,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.0351,                 1.2634,                 1.2033,                0.57339,                0.71024,                0.66127,                0.45387,                 1.0053,                 1.2451,                 1.1379,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.0314,                 1.2446,                 1.2031,                0.56692,                0.68903,                0.65394,                0.44198,                0.99166,                  1.265,                 1.1382,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.0357,                  1.249,                  1.205,                0.53148,                0.73395,                0.67524,                0.46188,                0.97844,                  1.238,                 1.1231,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.0255,                 1.2523,                 1.2006,                0.60652,                0.67724,                0.67337,                 0.4704,                0.97004,                 1.2078,                 1.1161,             0.00066506,             0.00066506,             0.00066506
